time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2013-01-01,33.5,24.3,0,Kochi
2013-01-02,32.2,25.2,0.3,Kochi
2013-01-03,34.2,25.9,0,Kochi
2013-01-04,33.9,25.2,0,Kochi
2013-01-05,35.3,25.5,0.4,Kochi
2013-01-06,34.1,25.2,0,Kochi
2013-01-07,32.2,25.8,1,Kochi
2013-01-08,27.2,24.4,2.4,Kochi
2013-01-09,32.7,24,0,Kochi
2013-01-10,33,24.9,0.6,Kochi
2013-01-11,34.6,24.6,0,Kochi
2013-01-12,31.7,25.1,5.3,Kochi
2013-01-13,33.8,23.4,0,Kochi
2013-01-14,33.2,24.2,0,Kochi
2013-01-15,33.2,22.4,0,Kochi
2013-01-16,34,22.1,0,Kochi
2013-01-17,34.7,22.2,0,Kochi
2013-01-18,35,23.1,0,Kochi
2013-01-19,34.7,23.5,0,Kochi
2013-01-20,35.3,24.1,0,Kochi
2013-01-21,35.6,23.4,0,Kochi
2013-01-22,35.5,25.3,0,Kochi
2013-01-23,35.3,23.7,0,Kochi
2013-01-24,35.9,22.8,0,Kochi
2013-01-25,35.2,23.5,0,Kochi
2013-01-26,35.4,24.2,0,Kochi
2013-01-27,35.1,23.5,0,Kochi
2013-01-28,34.6,23.6,0,Kochi
2013-01-29,34.9,24.8,0.1,Kochi
2013-01-30,34.8,25,0,Kochi
2013-01-31,35.7,24.4,0,Kochi
2013-02-01,35.4,23.3,0,Kochi
2013-02-02,34.9,22.6,0,Kochi
2013-02-03,34.5,23.8,0,Kochi
2013-02-04,32.5,25,0.5,Kochi
2013-02-05,35.2,23.8,0.1,Kochi
2013-02-06,34.5,24.6,1.5,Kochi
2013-02-07,35.4,24.6,0.3,Kochi
2013-02-08,34.6,25.7,0.1,Kochi
2013-02-09,35.1,25.7,0,Kochi
2013-02-10,35.3,25.3,0,Kochi
2013-02-11,36.2,25.5,0,Kochi
2013-02-12,36.5,25.6,0,Kochi
